host,role,ip,profile,os,enabled
SLG_DC_2_Authorization_01,SLG_DC_2_Authorization,10.1.2.101,stable,Linux,1
SLG_DC_2_Authorization_02,SLG_DC_2_Authorization,10.1.2.102,stable,Linux,1
SLG_DC_2_Authorization_03,SLG_DC_2_Authorization,10.1.2.103,stable,Linux,1
SLG_DC_2_Authorization_04,SLG_DC_2_Authorization,10.1.2.104,stable,Linux,1
SLG_DC_2_License_Class_Selector_01,SLG_DC_2_License_Class_Selector,10.1.2.101,stable,Linux,1
SLG_DC_2_License_Class_Selector_02,SLG_DC_2_License_Class_Selector,10.1.2.102,stable,Linux,1
SLG_DC_2_License_Class_Selector_03,SLG_DC_2_License_Class_Selector,10.1.2.103,stable,Linux,1
SLG_DC_2_License_Class_Selector_04,SLG_DC_2_License_Class_Selector,10.1.2.104,stable,Linux,1
SLG_DC_2_Load_Balancer_01,SLG_DC_2_Load_Balancer,10.1.2.101,stable,Linux,1
SLG_DC_2_Load_Balancer_02,SLG_DC_2_Load_Balancer,10.1.2.102,stable,Linux,1
SLG_DC_2_MySQL_01,SLG_DC_2_MySQL,10.1.2.101,unstable,Linux,1
SLG_DC_2_MySQL_02,SLG_DC_2_MySQL,10.1.2.102,unstable,Linux,1
SLG_DC_2_MySQL_03,SLG_DC_2_MySQL,10.1.2.103,unstable,Linux,1
SLG_DC_2_MySQL_04,SLG_DC_2_MySQL,10.1.2.104,unstable,Linux,1
SLG_DC_2_IIS_01,SLG_DC_2_IIS,10.1.2.101,windows,Windows,1
SLG_DC_2_IIS_02,SLG_DC_2_IIS,10.1.2.102,windows,Windows,1
SLG_DC_2_IIS_03,SLG_DC_2_IIS,10.1.2.103,windows,Windows,1
SLG_DC_2_IIS_04,SLG_DC_2_IIS,10.1.2.104,windows,Windows,1
