host,role,ip,profile,os,enabled
EDU_DC_1_Authorization_01,EDU_DC_1_Authorization,10.1.2.101,stable,Linux,1
EDU_DC_1_Authorization_02,EDU_DC_1_Authorization,10.1.2.102,stable,Linux,1
EDU_DC_1_Authorization_03,EDU_DC_1_Authorization,10.1.2.103,stable,Linux,1
EDU_DC_1_Authorization_04,EDU_DC_1_Authorization,10.1.2.104,stable,Linux,1
EDU_DC_1_Course_Picker_01,EDU_DC_1_Course_Picker,10.1.2.101,stable,Linux,1
EDU_DC_1_Course_Picker_02,EDU_DC_1_Course_Picker,10.1.2.102,stable,Linux,1
EDU_DC_1_Course_Picker_03,EDU_DC_1_Course_Picker,10.1.2.103,stable,Linux,1
EDU_DC_1_Course_Picker_04,EDU_DC_1_Course_Picker,10.1.2.104,stable,Linux,1
EDU_DC_1_MySQL_01,EDU_DC_1_MySQL,10.1.2.101,unstable,Linux,1
EDU_DC_1_MySQL_02,EDU_DC_1_MySQL,10.1.2.102,unstable,Linux,1
EDU_DC_1_MySQL_03,EDU_DC_1_MySQL,10.1.2.103,unstable,Linux,1
EDU_DC_1_MySQL_04,EDU_DC_1_MySQL,10.1.2.104,unstable,Linux,1
EDU_DC_1_IIS_01,EDU_DC_1_IIS,10.1.2.101,windows,Windows,1
EDU_DC_1_IIS_02,EDU_DC_1_IIS,10.1.2.102,windows,Windows,1
EDU_DC_1_IIS_03,EDU_DC_1_IIS,10.1.2.103,windows,Windows,1
EDU_DC_1_IIS_04,EDU_DC_1_IIS,10.1.2.104,windows,Windows,1
